상호명,도로명주소,위도,경도
더벤티경산펜타힐즈점,경상북도 경산시 펜타힐즈2로 45,35.8280163942936,128.719310966545
모리커피포항환호공원점,경상북도 포항시 북구 삼호로 418,36.0688032523721,129.393718851463
리디아,경상북도 칠곡군 왜관읍 2번도로길 34,35.9908197251703,128.39802973205
그린스테어,경상북도 경산시 경안로56길 46-12,35.8314677050007,128.740216712665
리치,경상북도 경산시 원효로32길 11,35.8196579044856,128.753674635429
더리터풍기동양대점,경상북도 영주시 풍기읍 동양대로 107-3,36.8788647256656,128.532994983888
코피카야,경상북도 영주시 대동로13번길 2-3,36.8156127164386,128.604267199479
마시그래이성주점,경상북도 성주군 성주읍 심산로 112,35.9187315569801,128.284059356422
카페온전,경상북도 경주시 중앙로 12,35.8409408921413,129.211811254615
블랙라인커피,경상북도 구미시 산호대로29길 8-3,36.137268543238,128.420201478163
카페다락,경상북도 상주시 발산로 270,36.4480467655488,128.183492287145
멍애견카페,경상북도 영천시 임고면 포은로 185,35.9938960939219,128.966484941837
발렌틴,경상북도 포항시 북구 양학로9번길 25,36.0228074759315,129.350140240244
투썸플레이스칠곡,경상북도 칠곡군 동명면 한티로 502,36.0011418470884,128.593755585136
소소홍홍,경상북도 청도군 화양읍 도주관로 114,35.6476255205974,128.702131134884
카페정원,경상북도 영천시 장수로 22-1,35.9640573172204,128.921464885328
카페차이포항,경상북도 포항시 남구 효성로 55,36.0081961608583,129.33908726543
몰리밀키,경상북도 경산시 펜타힐즈2로 17,35.8267963943489,128.716831895028
이세븐1107,경상북도 구미시 산호대로27길 18-1,36.1385675788547,128.41728611902
연정구이,경상북도 영천시 완산중앙1길 10,35.9629115743206,128.935586642374
커피스토리,경상북도 포항시 남구 문예로 137-21,36.018454015802,129.368470229777
끄레아,경상북도 경주시 양정로278번길 8,35.8575622586324,129.224962251792
빈이커피산동점,경상북도 구미시 산동읍 신당1로4길 17-5,36.1553236907758,128.42969998323
경주컵넛,경상북도 경주시 놋전1길 23,35.8324131346186,129.213762317846
구구커피숍,경상북도 성주군 초전면 대장길 85-17,35.9723178072023,128.263139530402
어벤더치,경상북도 경산시 대학로9길 8,35.8352147526168,128.728817544578
브릿지커피,경상북도 경주시 첨성로 105,35.8334201760023,129.213999014999
스코닛,경상북도 포항시 북구 흥해읍 초곡지구로83번길 8,36.0940112726742,129.340730494861
아리솔찻집,경상북도 구미시 선산읍 성황6길 33,36.2364749787125,128.288564165226
어글리디저트UglyDissert,경상북도 포항시 북구 장량로113번길 18,36.0834405342564,129.392822504209
보라빛향기,경상북도 경주시 동대로14번길 2,35.8557221889688,129.205504244999
커피마시기좋은날,경상북도 영천시 호국로 55-3,35.973508972425,128.943861211493
산뽀카페,경상북도 경주시 외동읍 산업로 1885-34,35.6810562184604,129.3284622068
커피공간,경상북도 상주시 인봉2길 5,36.4180015274848,128.163171195944
헤이안,경상북도 포항시 북구 해안로 219,36.0645144466253,129.387416090409
